"CRN","ACCESS_CTRL","ADJ_RDWY_SEQ","LANE_COUNT","OFFSET","RDWY_COUNTY","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2020086509","3","4","02","833","67","S","4","2","2009","0061","30","ARAMINGO AV"
"2020044808","3","4","02","569","46","S","3","2","0309","0033","35","CHELTENHAM AV"
"2020074451","3","3","2","505","67","S","3","2","0013","0171","30","HUNTING PARK AV"
"2020011847","3","4","2","1193","67","S","4","2","1009","0111","25","BUSTLETON AV"
"2020108479","","5","04","","67","S","5","4","","","","ISLAND AV"
"2020059510","3","3","2","1977","67","S","3","2","1015","0011","35","KNIGHTS RD"
"2020017707","3","3","2","499","67","N","3","2","0232","0072","25","OXFORD AV"
"2020076446","3","3","2","1159","67","N","3","2","1009","0070","25","BUSTLETON AV"
"2020071216","1","3","02","4150","67","E","3","2","8047","0260","20","RAMP LL RD"
"2020027760","","3","01","","67","W","4","4","","","25","YORK ST"
"2020049748","","3","02","","67","N","3","4","","","25","GLENWOOD AV"
"2020008749","3","4","03","0","67","S","4","2","3019","0021","35","ESSINGTON AV"
"2020083031","","4","02","","67","S","3","4","","","25","5TH ST"
"2020027613","1","3","3","2120","67","N","3","1","0095","0230","55","DELAWARE EX"
"2020061710","","5","02","","67","S","5","4","","","35","POPLAR DR"
"2020047140","1","3","4","2161","67","S","3","1","0095","0301","55","DELAWARE EX"
"2022079291","3","4","2","1150","67","W","4","2","2014","0061","25","LEHIGH AV"
"2020035725","","3","02","","67","N","4","4","","","25","53RD ST"
"2020047532","","4","01","","67","N","4","4","","","25","S 57TH ST"
"2020047909","3","3","2","1131","67","N","3","2","2007","0100","25","FRANKFORD AV"
"2020028058","1","3","3","1276","67","E","3","1","0676","0002","55","VINE STREET EX"
"2020004203","1","4","1","765","67","E","4","2","8016","0750","20","RAMP RD"
"2020062292","","3","02","","67","E","3","4","","","25","CRESHEIM VALLEY DR"
"2020072123","","4","01","","67","S","3","4","","","","15TH ST"
"2020009778","","4","02","","67","W","3","4","","","25","I ST"
"2020070937","","3","01","","67","S","3","4","","","25","RUTH ST"
"2020002537","3","4","2","2097","46","S","3","2","0309","0033","35","CHELTENHAM AV"
"2020005982","3","3","3","0","67","E","3","2","3013","0030","35","ISLAND AV"
"2020079056","","4","02","","67","N","3","4","","","","56TH ST"
"2020063666","","3","02","","67","N","3","4","","","25","KENSINGTON AV"
"2020024189","","4","02","","67","N","3","4","","","","OGONTZ AV"
"2020039195","3","3","2","2222","67","W","3","2","0003","0041","35","WALNUT ST"
